symbol,threshold,use_rsi_filter,use_volume_filter,total_return_pct,sharpe,max_drawdown,max_drawdown_pct,win_rate_pct,profit_factor,total_trades,expectancy_pct,wf_windows_total,wf_windows_with_trades,wf_positive_pct,wf_sharpe_positive_pct,wf_pf_above_1_pct,wf_avg_return_pct,wf_avg_sharpe,wf_avg_pf,wf_avg_max_dd_pct,wf_total_trades,score
DOGE/USDT,-0.05,True,True,30.2,0.37,-0.2567,-25.67,67.03,1.15,907,0.2947,27,27,81.48,81.48,77.78,1.725,1.021,4.077,-6.093,720,71.16
DOGE/USDT,-0.05,True,False,21.61,0.3,-0.2557,-25.57,66.42,1.13,932,0.2534,27,27,77.78,81.48,77.78,1.437,0.915,3.951,-6.212,738,69.0
DOGE/USDT,-0.08,False,True,15.5,0.25,-0.2785,-27.85,71.8,1.15,571,0.3473,27,26,73.08,73.08,61.54,1.374,1.086,3.078,-4.784,389,65.68
DOGE/USDT,-0.08,True,True,26.74,0.38,-0.2178,-21.78,70.88,1.2,467,0.4386,27,26,69.23,69.23,65.38,1.14,0.953,2.962,-4.37,331,64.92
DOGE/USDT,-0.07,True,False,32.41,0.42,-0.2226,-22.26,69.6,1.21,602,0.4378,27,26,61.54,61.54,61.54,1.453,0.903,3.267,-4.795,435,64.36
DOGE/USDT,-0.06,True,True,20.28,0.3,-0.2732,-27.32,68.78,1.14,711,0.2833,27,27,66.67,66.67,59.26,1.347,0.861,3.297,-5.386,545,64.2
DOGE/USDT,-0.08,False,False,15.14,0.25,-0.3138,-31.38,71.55,1.14,594,0.336,27,26,69.23,69.23,57.69,1.331,1.005,3.076,-4.832,395,63.82
DOGE/USDT,-0.08,True,False,28.53,0.4,-0.2168,-21.68,70.54,1.21,482,0.4574,27,26,61.54,61.54,53.85,1.087,0.853,3.017,-4.518,339,62.31
DOGE/USDT,-0.06,True,False,13.69,0.23,-0.273,-27.3,68.28,1.12,744,0.2438,27,27,62.96,62.96,59.26,1.101,0.747,3.941,-5.575,571,62.02
DOGE/USDT,-0.05,False,True,9.38,0.19,-0.3462,-34.62,66.67,1.09,1107,0.1949,27,27,66.67,66.67,62.96,1.271,0.9,4.109,-6.942,849,61.64
DOGE/USDT,-0.07,True,True,25.6,0.36,-0.2343,-23.43,69.62,1.19,576,0.3968,27,26,57.69,57.69,53.85,1.359,0.887,3.271,-4.737,416,61.59
DOGE/USDT,-0.05,False,False,-3.51,0.07,-0.338,-33.8,65.79,1.06,1146,0.1338,27,27,66.67,66.67,62.96,0.803,0.748,3.986,-7.101,876,60.61
DOGE/USDT,-0.06,False,True,-0.63,0.09,-0.3598,-35.98,68.4,1.06,864,0.143,27,27,66.67,66.67,62.96,1.205,0.917,4.251,-5.88,640,60.37
DOGE/USDT,-0.06,False,False,-4.83,0.05,-0.3681,-36.81,67.9,1.05,919,0.1179,27,27,66.67,70.37,66.67,1.076,0.832,3.533,-6.076,681,59.81
DOGE/USDT,-0.07,False,False,7.65,0.17,-0.3332,-33.32,69.18,1.11,730,0.2535,27,26,57.69,61.54,57.69,1.292,0.92,5.898,-5.283,505,58.11
DOGE/USDT,-0.07,False,True,2.7,0.12,-0.3368,-33.68,69.21,1.1,695,0.2187,27,26,53.85,57.69,57.69,1.181,0.897,5.923,-5.245,484,56.0
